sample	SPP1	TP53
TCGA-2Y-A9GS	25743	1176
TCGA-2Y-A9GT	60	529
TCGA-2Y-A9GU	78	584
TCGA-2Y-A9GV	231	376
TCGA-2Y-A9GW	112772	1467
TCGA-2Y-A9GX	55345	874
TCGA-2Y-A9GY	16884	1190
TCGA-2Y-A9GZ	515	630
TCGA-2Y-A9H0	6469	660
TCGA-2Y-A9H1	33528	958
TCGA-2Y-A9H2	104454	2035
TCGA-2Y-A9H3	61	1011
TCGA-2Y-A9H4	56	222
TCGA-2Y-A9H5	1541	1211
TCGA-2Y-A9H6	2977	1642
TCGA-2Y-A9H7	2926	1561
TCGA-2Y-A9H8	3261	1494
TCGA-2Y-A9H9	103	321
TCGA-2Y-A9HA	43743	137
TCGA-2Y-A9HB	1499	751
TCGA-3K-AAZ8	390	1379
TCGA-4R-AA8I	2672	475
TCGA-5C-A9VG	282	1386
TCGA-5C-A9VH	295	1475
TCGA-5C-AAPD	2341	542
TCGA-5R-AA1C	146913	952
TCGA-5R-AA1D	78184	1319
TCGA-5R-AAAM	4193	404
TCGA-BC-4072	43119	616
TCGA-BC-4073	9957	665
TCGA-BC-A10Q	105803	1222
TCGA-BC-A10R	95258	287
TCGA-BC-A10S	529	1612
TCGA-BC-A10T	875	733
TCGA-BC-A10U	5304	837
TCGA-BC-A10W	175563	1269
TCGA-BC-A10X	1924	1051
TCGA-BC-A10Y	348	146
TCGA-BC-A10Z	1965	370
TCGA-BC-A110	991	719
TCGA-BC-A112	117139	1383
TCGA-BC-A216	1387	759
TCGA-BC-A217	5153	1106
TCGA-BC-A3KF	94	395
TCGA-BC-A3KG	1050	734
TCGA-BC-A5W4	947	584
TCGA-BC-A69H	8761	165
TCGA-BC-A69I	803	827
TCGA-BC-A8YO	1650	1540
TCGA-BD-A2L6	56	436
TCGA-BD-A3EP	8274	1140
TCGA-BW-A5NO	1888	1000
TCGA-BW-A5NP	4478	1612
TCGA-BW-A5NQ	10189	159
TCGA-CC-5258	1225	515
TCGA-CC-5259	1805	167
TCGA-CC-5260	164104	1999
TCGA-CC-5261	1186	1439
TCGA-CC-5262	98761	1262
TCGA-CC-5263	12804	231
TCGA-CC-5264	6909	90
TCGA-CC-A123	3351	914
TCGA-CC-A1HT	20433	1508
TCGA-CC-A3M9	10940	1420
TCGA-CC-A3MA	223050	1692
TCGA-CC-A3MB	308	928
TCGA-CC-A3MC	80364	506
TCGA-CC-A5UC	2883	1090
TCGA-CC-A5UD	5335	2451
TCGA-CC-A5UE	27121	855
TCGA-CC-A7IE	13168	2658
TCGA-CC-A7IF	47	268
TCGA-CC-A7IG	3888	210
TCGA-CC-A7IH	9	763
TCGA-CC-A7II	5062	1944
TCGA-CC-A7IJ	5686	2756
TCGA-CC-A7IK	37762	145
TCGA-CC-A7IL	5911	347
TCGA-CC-A8HT	27164	827
TCGA-CC-A8HU	4978	658
TCGA-CC-A8HV	208	913
TCGA-CC-A9FS	625	893
TCGA-CC-A9FU	1951	123
TCGA-CC-A9FV	97	686
TCGA-CC-A9FW	15012	1532
TCGA-DD-A113	5200	1513
TCGA-DD-A114	4285	1319
TCGA-DD-A115	237	331
TCGA-DD-A116	7705	794
TCGA-DD-A118	583	755
TCGA-DD-A119	45995	618
TCGA-DD-A11A	3139	384
TCGA-DD-A11B	219	1245
TCGA-DD-A11C	2122	874
TCGA-DD-A11D	767	393
TCGA-DD-A1EA	5201	1051
TCGA-DD-A1EB	12	559
TCGA-DD-A1EC	317	641
TCGA-DD-A1ED	177	744
TCGA-DD-A1EE	24708	1466
TCGA-DD-A1EF	3372	2202
TCGA-DD-A1EG	86544	1239
TCGA-DD-A1EH	1737	1147
TCGA-DD-A1EI	1200	365
TCGA-DD-A1EJ	6590	1049
TCGA-DD-A1EK	25723	277
TCGA-DD-A1EL	146501	730
TCGA-DD-A39V	127299	827
TCGA-DD-A39W	626	855
TCGA-DD-A39X	172359	915
TCGA-DD-A39Y	59848	564
TCGA-DD-A39Z	106	947
TCGA-DD-A3A1	158996	1005
TCGA-DD-A3A2	20	652
TCGA-DD-A3A3	157302	372
TCGA-DD-A3A4	128	604
TCGA-DD-A3A5	31	295
TCGA-DD-A3A6	66	1745
TCGA-DD-A3A7	6763	96
TCGA-DD-A3A8	480	578
TCGA-DD-A3A9	166	632
TCGA-DD-A4NA	15222	740
TCGA-DD-A4NB	36605	912
TCGA-DD-A4ND	2016	953
TCGA-DD-A4NE	119	1260
TCGA-DD-A4NF	15048	767
TCGA-DD-A4NG	5344	929
TCGA-DD-A4NH	14443	569
TCGA-DD-A4NI	546	501
TCGA-DD-A4NJ	3609	437
TCGA-DD-A4NK	40	747
