sample	SPP1	TP53
TCGA-2Y-A9GS	25743.2000	1176.4400
TCGA-2Y-A9GT	60.0762	529.0290
TCGA-2Y-A9GU	78.4091	583.8980
TCGA-2Y-A9GV	230.9640	376.4810
TCGA-2Y-A9GW	112772.0000	1466.6700
TCGA-2Y-A9GX	55344.8000	873.9390
TCGA-2Y-A9GY	16884.3000	1189.6100
TCGA-2Y-A9GZ	515.3580	630.0340
TCGA-2Y-A9H0	6468.5600	659.9940
TCGA-2Y-A9H1	33527.6000	957.5020
TCGA-2Y-A9H2	104454.0000	2035.3400
TCGA-2Y-A9H3	60.7940	1011.1700
TCGA-2Y-A9H4	55.6755	221.7420
TCGA-2Y-A9H5	1541.2000	1210.9900
TCGA-2Y-A9H6	2977.4800	1641.9300
TCGA-2Y-A9H7	2926.2400	1561.4600
TCGA-2Y-A9H8	3260.5100	1493.5300
TCGA-2Y-A9H9	102.5200	320.6610
TCGA-2Y-A9HA	43743.4000	137.4780
TCGA-2Y-A9HB	1498.7300	750.5600
TCGA-3K-AAZ8	390.1340	1379.0000
TCGA-4R-AA8I	2671.7000	475.2750
TCGA-5C-A9VG	282.4890	1386.0100
TCGA-5C-A9VH	295.3760	1474.8100
TCGA-5C-AAPD	2340.9800	542.0490
TCGA-5R-AA1C	146913.0000	952.0080
TCGA-5R-AA1D	78184.5000	1318.5900
TCGA-5R-AAAM	4192.5400	404.1100
TCGA-BC-4072	43118.7000	615.9310
TCGA-BC-4073	9957.0000	665.1420
TCGA-BC-A10Q	105803.0000	1221.7100
TCGA-BC-A10R	95258.0000	286.8460
TCGA-BC-A10S	529.3110	1611.8400
TCGA-BC-A10T	874.8230	733.1770
TCGA-BC-A10U	5303.9000	836.8960
TCGA-BC-A10W	175563.0000	1268.9600
TCGA-BC-A10X	1923.6800	1051.0200
TCGA-BC-A10Y	347.5970	145.8280
TCGA-BC-A10Z	1964.8400	370.1070
TCGA-BC-A110	990.6670	718.6670
TCGA-BC-A112	117139.0000	1383.3000
TCGA-BC-A216	1386.6500	758.5330
TCGA-BC-A217	5152.9100	1105.9800
TCGA-BC-A3KF	93.6337	394.5150
TCGA-BC-A3KG	1050.4200	734.0340
TCGA-BC-A5W4	946.7610	584.4720
TCGA-BC-A69H	8760.5800	164.9640
TCGA-BC-A69I	803.0330	826.5400
TCGA-BC-A8YO	1650.4500	1540.4200
TCGA-BD-A2L6	55.6122	435.7140
TCGA-BD-A3EP	8274.2400	1139.7500
TCGA-BW-A5NO	1887.5300	1000.2900
TCGA-BW-A5NP	4478.2800	1611.5200
TCGA-BW-A5NQ	10189.1000	158.6070
TCGA-CC-5258	1225.1300	514.5170
TCGA-CC-5259	1805.1500	167.4720
TCGA-CC-5260	164104.0000	1999.1100
TCGA-CC-5261	1186.4300	1439.3400
TCGA-CC-5262	98761.2000	1262.0700
